base_name,estimator,run_depth,ablation_depth,auc,ap,brier,logloss,n_targets
spam_a,logreg,4,2.0,0.99106304,0.988590908773124,0.0313351829369002,0.134607174209262,3.0
spam_a,logreg,4,3.0,0.99144704,0.9885365292028552,0.029640590822124,0.1318634617289035,3.0
spam_a,logreg,4,4.0,0.9915502933333332,0.9886076935069348,0.0293509055594687,0.1306270976913265,3.0
spam_a,logreg,4,5.0,0.9918395733333334,0.9891613017189124,0.0294268849119418,0.1296309489243004,3.0
landmine,logreg,3,2.0,0.7767556724226725,0.3606067783162274,0.049268874372928,0.1913381511122285,29.0
landmine,logreg,3,3.0,0.7765126148139616,0.3657442886051269,0.0492309693759105,0.1900646289484019,29.0
base_menor,logreg,4,2.0,0.7672903117837302,0.7426823007158208,0.1986560501253841,0.5847471433860965,8.0
base_menor,logreg,4,3.0,0.7737047481269033,0.7460550144635029,0.1968337789368888,0.5805185018487131,8.0
base_menor,logreg,4,4.0,0.7709789368535256,0.7466766427659488,0.1976920108809542,0.5823960187961903,8.0
base_menor,logreg,4,5.0,0.7681525193891143,0.7451611753189447,0.1993540344833719,0.5865901015219988,8.0
33gg,logreg,4,2.0,0.7730929948947645,0.7604718692403964,0.1955831937173517,0.5857836291485927,9.0
33gg,logreg,4,3.0,0.7730304835618274,0.7569621666160354,0.1953360670082595,0.5862997496747454,9.0
33gg,logreg,4,4.0,0.7738827105400621,0.7591938138153854,0.1950337434508968,0.585287356975354,9.0
33gg,logreg,4,5.0,0.7741810365670045,0.7574054526966739,0.1949888818852018,0.5862402153306419,9.0
base_menor_2_grupos,logreg,4,2.0,0.7518919708031929,0.7423260581330525,0.2070620207577315,0.6040198915097901,6.0
base_menor_2_grupos,logreg,4,3.0,0.7385659388409054,0.7247349353379621,0.2104572680778672,0.6112581122862487,6.0
base_menor_2_grupos,logreg,4,4.0,0.748598387760197,0.7375440915828033,0.2081315185477989,0.6063039232184045,6.0
base_menor_2_grupos,logreg,4,5.0,0.7548386714853654,0.7422383589067744,0.2054463061362383,0.5997437454895426,6.0
44gg,logreg,4,2.0,0.7637847040676021,0.7263842123135706,0.2010609771933589,0.5952624139040511,12.0
44gg,logreg,4,3.0,0.758769037404587,0.7202375922461539,0.2027667062509203,0.599384470182442,12.0
44gg,logreg,4,4.0,0.7543570968090686,0.7200029368389201,0.2041261097640953,0.6020885424203553,12.0
44gg,logreg,4,5.0,0.7593748884083714,0.7200149408035342,0.2025217537346574,0.5987097281149109,12.0
55gg,logreg,4,2.0,0.7581453160493713,0.7323761039975997,0.2015115908462593,0.5950989805670683,15.0
55gg,logreg,4,3.0,0.7574569645866589,0.732628248600487,0.2020274965163785,0.5964569187429264,15.0
55gg,logreg,4,4.0,0.7614418939535214,0.7354066384869268,0.2010386345675883,0.5937585787332714,15.0
55gg,logreg,4,5.0,0.7660096828591582,0.7391483787083637,0.1995099729409337,0.5904252578559794,15.0
base_menor_2_grupos_s_o,logreg,4,2.0,0.7577451573900346,0.7395319536155492,0.1996939709067307,0.5870789189438622,5.0
base_menor_2_grupos_s_o,logreg,4,3.0,0.7652080645036883,0.7398495990062166,0.1980923878342684,0.5840826581383458,5.0
base_menor_2_grupos_s_o,logreg,4,4.0,0.7676103224394553,0.743141885389573,0.1966815695553301,0.5817818085088423,5.0
base_menor_2_grupos_s_o,logreg,4,5.0,0.7674510718288865,0.7407590087221708,0.1977478968407584,0.5826867588452804,5.0
3clusters_3outliers,logreg,4,2.0,0.7547187030228052,0.7294730575331335,0.202280859118611,0.5965572012574556,20.0
3clusters_3outliers,logreg,4,3.0,0.7531984181661984,0.7309286775294408,0.2031260659535813,0.5974896175997665,20.0
3clusters_3outliers,logreg,4,4.0,0.758407541103667,0.7364125869290546,0.2006608001223253,0.5923885791814057,20.0
3clusters_3outliers,logreg,4,5.0,0.7604653677642299,0.7383590738722352,0.2006953423988265,0.5925423876266447,20.0
