base_name,estimator,run_depth,epsilon,auc,ap,brier,logloss,n_targets
spam_a,logreg,4,0.005,0.993152,0.992642406227748,0.0297917042891983,0.1107172068763801,3.0
spam_a,logreg,4,0.01,0.9933866666666668,0.9930584524108284,0.0306214704494127,0.1110817972672896,3.0
spam_a,logreg,4,0.02,0.99190016,0.9888864999485564,0.0287391680593528,0.1286734909550017,3.0
spam_a,logreg,4,0.05,0.99312384,0.9920346260199384,0.0300159346495265,0.1125115614926753,3.0
base_menor,logreg,4,0.005,0.7633399406159151,0.73631000193068,0.2003023626964637,0.5877894181460104,8.0
base_menor,logreg,4,0.01,0.7733293162673238,0.7446937520857847,0.1968026788884855,0.5803383402338154,8.0
base_menor,logreg,4,0.02,0.7691030865959937,0.7436048609164679,0.1982040755729344,0.5837318213291729,8.0
base_menor,logreg,4,0.05,0.7708667964359432,0.7449164305991015,0.1979951800039384,0.5839045895034922,8.0
33gg,logreg,4,0.005,0.7733686122347717,0.7588754517022179,0.1951793149841571,0.5858140744510488,9.0
33gg,logreg,4,0.01,0.7734582290827424,0.7582500250460655,0.195698327287419,0.586900292886662,9.0
33gg,logreg,4,0.02,0.770927722775697,0.7560076719638675,0.1966111151266397,0.5890299526945735,9.0
33gg,logreg,4,0.05,0.7691442209446862,0.756632634294725,0.1974265804740739,0.5902813354596836,9.0
base_menor_2_grupos,logreg,4,0.005,0.7436659757347557,0.7352918043984559,0.2088288787926915,0.607463962413994,6.0
base_menor_2_grupos,logreg,4,0.01,0.7425501999764363,0.7311650489550251,0.2091314070007308,0.6084193560361696,6.0
base_menor_2_grupos,logreg,4,0.02,0.7394522636418058,0.7303139847492802,0.2107240897885247,0.6111838867820064,6.0
base_menor_2_grupos,logreg,4,0.05,0.7306360723140438,0.7154702805923948,0.2122994351526853,0.6161068849050421,6.0
44gg,logreg,4,0.005,0.7596014104959393,0.7226591952085576,0.2028401761251732,0.5988369794615453,12.0
44gg,logreg,4,0.01,0.7553103468647144,0.7169462124857132,0.2037471813540016,0.6014485148318426,12.0
44gg,logreg,4,0.02,0.7573108482290771,0.7208966781571738,0.2027442110437045,0.5983227024442549,12.0
44gg,logreg,4,0.05,0.7529563164031248,0.7191243537969171,0.203886731049332,0.600600820377691,12.0
55gg,logreg,4,0.005,0.7579195623775259,0.7337512801482032,0.2016546557365108,0.5946713208894463,15.0
55gg,logreg,4,0.01,0.7603722803687247,0.7349516972006935,0.2006148120781748,0.5926257203114569,15.0
55gg,logreg,4,0.02,0.7550756840268348,0.7317874853432345,0.2027711922819152,0.5985137731258805,15.0
55gg,logreg,4,0.05,0.7520046379090947,0.7298823470738558,0.2036944145860968,0.6002062074456561,15.0
base_menor_2_grupos_s_o,logreg,4,0.005,0.7634427102291854,0.7403809641308685,0.1984511509195158,0.5843990423801542,5.0
base_menor_2_grupos_s_o,logreg,4,0.01,0.7593071468287255,0.7403031434082673,0.1993097376861551,0.58664384523204,5.0
base_menor_2_grupos_s_o,logreg,4,0.02,0.7557053788585797,0.7356786315731082,0.2010953679327433,0.5900565832305291,5.0
base_menor_2_grupos_s_o,logreg,4,0.05,0.7569270357854198,0.737675558370434,0.2011797266083996,0.5915597201988998,5.0
3clusters_3outliers,logreg,4,0.005,0.7557173826197001,0.7337196545625007,0.2013093768153734,0.5932096719941227,20.0
3clusters_3outliers,logreg,4,0.01,0.7594636235432977,0.735163192008587,0.2016125792117474,0.5946140510995814,20.0
3clusters_3outliers,logreg,4,0.02,0.7539089844750853,0.7306753023140244,0.2013407193391715,0.5942462919992714,20.0
3clusters_3outliers,logreg,4,0.05,0.7487300125180429,0.7295506885042833,0.2044268138114051,0.6019116004388817,20.0
