base_name,task_id,cluster_label,is_outlier
33gg,t0,0,False
33gg,t1,0,False
33gg,t2,0,False
33gg,t3,1,False
33gg,t4,1,False
33gg,t5,1,False
33gg,t6,2,False
33gg,t7,2,False
33gg,t8,2,False
3clusters_3outliers,t0,0,False
3clusters_3outliers,t1,0,False
3clusters_3outliers,t2,0,False
3clusters_3outliers,t3,0,False
3clusters_3outliers,t4,0,False
3clusters_3outliers,t5,0,False
3clusters_3outliers,t6,1,False
3clusters_3outliers,t7,1,False
3clusters_3outliers,t8,1,False
3clusters_3outliers,t9,1,False
3clusters_3outliers,t10,1,False
3clusters_3outliers,t11,1,False
3clusters_3outliers,t12,2,False
3clusters_3outliers,t13,2,False
3clusters_3outliers,t14,2,False
3clusters_3outliers,t15,2,False
3clusters_3outliers,t16,2,False
3clusters_3outliers,t17,-1,True
3clusters_3outliers,t18,-2,True
3clusters_3outliers,t19,-3,True
44gg,t0,0,False
44gg,t1,0,False
44gg,t2,0,False
44gg,t3,1,False
44gg,t4,1,False
44gg,t5,1,False
44gg,t6,2,False
44gg,t7,2,False
44gg,t8,2,False
44gg,t9,3,False
44gg,t10,3,False
44gg,t11,3,False
55gg,t0,0,False
55gg,t1,0,False
55gg,t2,0,False
55gg,t3,1,False
55gg,t4,1,False
55gg,t5,1,False
55gg,t6,2,False
55gg,t7,2,False
55gg,t8,2,False
55gg,t9,3,False
55gg,t10,3,False
55gg,t11,3,False
55gg,t12,4,False
55gg,t13,4,False
55gg,t14,4,False
base_menor,t0,0,False
base_menor,t1,0,False
base_menor,t2,0,False
base_menor,t3,1,False
base_menor,t4,1,False
base_menor,t5,2,False
base_menor,t6,2,False
base_menor,t7,-1,True
base_menor_2_grupos,t0,0,False
base_menor_2_grupos,t1,0,False
base_menor_2_grupos,t2,0,False
base_menor_2_grupos,t3,1,False
base_menor_2_grupos,t4,1,False
base_menor_2_grupos,t5,-1,True
base_menor_2_grupos_s_o,t0,0,False
base_menor_2_grupos_s_o,t1,0,False
base_menor_2_grupos_s_o,t2,0,False
base_menor_2_grupos_s_o,t3,1,False
base_menor_2_grupos_s_o,t4,1,False
