base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
33gg,logreg,4,t0,ATL_selector,0.618249076652865,0.7366519470092332,0.6707275705077775,0.2112658226909598,
33gg,logreg,4,t0,Logistic_Dirty,0.6442714083583969,0.6821557607386591,0.684498560434197,0.2257624962724396,"{""lam1"": 0.06045693124922623, ""lam2"": 0.5860952196686494, ""max_iter"": 1429, ""tol"": 4.022155272937203e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t0,Logistic_L21,0.6435186663669791,0.6821557607386591,0.6854188706610127,0.2255989306066776,"{""lam"": 0.06326467049985281, ""max_iter"": 1359, ""tol"": 0.0005048026621101888, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t0,Logistic_rMTFL,0.6173875434099844,0.7294259333600963,0.6887367415543886,0.2118428487126094,"{""tau"": 0.10370052198320813, ""lam"": 0.8502425765564671, ""max_iter"": 1007, ""tol"": 1.7636056763266678e-06, ""tau_init"": 0.559980805545065, ""cont_factor"": 0.5009382424046549, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t0,Single_Task,0.6330506453221981,0.694399839421919,0.6958204377571368,0.220638274382407,
33gg,logreg,4,t1,ATL_selector,0.5542835516335357,0.8084233693477391,0.8154949596579644,0.1816998370536903,
33gg,logreg,4,t1,Logistic_Dirty,0.6187804893052344,0.754501800720288,0.8017063837010082,0.2046766084498524,"{""lam1"": 31.927425381137862, ""lam2"": 0.005609243681787058, ""max_iter"": 1233, ""tol"": 1.3128196892357137e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t1,Logistic_L21,0.6137431302488544,0.7560024009603842,0.8002094299294299,0.2037270406600803,"{""lam"": 0.013087352898134485, ""max_iter"": 468, ""tol"": 1.221154670191904e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t1,Logistic_rMTFL,0.6002128422384437,0.7619047619047619,0.8062208433928763,0.1996100906733691,"{""tau"": 0.031925109486763414, ""lam"": 0.1525875388662059, ""max_iter"": 762, ""tol"": 0.0002747246099259552, ""tau_init"": 0.12000992689725051, ""cont_factor"": 0.6594819108542233, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t1,Single_Task,0.6199611983955347,0.7536014405762305,0.7974562337141227,0.2047792343470758,
